,Dia,Mês,Ano,Hora,Cidade,Ocorrência,Descrição,Local,Qntd_Viaturas,Qntd_Militares
45,5,5,2023, 18:32:48,MACEIÓ,APH,"ATROPELAMENTO POR CARRO DE UMA VÍTIMA CONSCIENTE, ORIENTADA, QUEIXANDO-SE DE DORES NAS COSTAS, CABEÇA E ESCORIAÇÕES NOS MEMBROS SUPERIORES.","AVENIDA DURVAL DE GÓES MONTEIRO, MACEIÓ-AL",1,3
46,5,5,2023, 18:59:51,UNIÃO DOS PALMARES,APH,QUEDA DE MOTO COM UMA VITIMA,"R. SANTA IZABEL, UNIÃO DOS PALMARES-AL",1,3
47,5,5,2023, 19:31:50,MACEIÓ,APH,"SOLICITANTE INFORMA SOBRE QUEDA DA PROPRIA ALTURA DE UMA MULHER, SUSPEITA DE FRATURA NO PÉ. CONSCIENTE.","R. ENG. MARIO DE GUSMÃO, MACEIÓ-AL",0,3
48,5,5,2023, 20:03:36,PALMEIRA DOS ÍNDIOS,APH,CASO CLÍNICO,"LOTEAMENTO BELA VISTA, 94, PALMEIRA DOS ÍNDIOS-AL",1,3
49,5,5,2023, 20:30:57,PENEDO,ATIVIDADES COMUNITÁRIAS,SVR SALVAMENTO,"AVENIDA BEIRA RIO, PENEDO-AL",1,4
50,5,5,2023, 20:47:44,JOAQUIM GOMES,BUSCA E SALVAMENTO,COLISÁO CARRO X ARVORÉ EM APOIO AO SAMU,"BR-101, JOAQUIM GOMES-AL",1,3
51,5,5,2023, 21:17:26,PALMEIRA DOS ÍNDIOS,BUSCA E SALVAMENTO,DESABAMENTO DE MURO,"TRAVESSA PROF. GUEDES DE MIRANDA, 75, PALMEIRA DOS ÍNDIOS-AL",2,6
52,5,5,2023, 21:55:49,PALMEIRA DOS ÍNDIOS,INCÊNDIO,INCÊNDIO EM VEÍCULO,"AL 115, PALMEIRA DOS ÍNDIOS-AL",1,3
53,5,5,2023, 22:33:23,MACEIÓ,BUSCA E SALVAMENTO,PRESO EM ELEVADOR,"R. WALFRIDO ROCHA, 115, MACEIÓ-AL",0,0
54,5,5,2023, 22:36:57,MACEIÓ,APH,CASO CLÍNICO.,"RIO RIO LARGO, Nº 156, MACEIÓ-AL",1,4
55,6,5,2023, 06:41:34,MACEIÓ,APH,"SOLICITANTE IINFORMA SOBRE COLISÃO MOTO X ÔNIBUS, COM UMA VÍTIMA COM SUSPEITA DE FRATURA NA MÃO. CONSCIENTE.","AVENIDA JUCA SAMPAIO, MACEIÓ-AL",1,4
56,6,5,2023, 06:53:03,MARAGOGI,APH,VÍTIMA DE QUEIMADURA,"RUA DO CARVÃO, MARAGOGI-AL",1,3
57,6,5,2023, 07:59:40,SANTANA DO IPANEMA,APH,COLISÃO MOTO X CACHORRO.,"BR-316, SANTANA DO IPANEMA-AL",1,3
58,6,5,2023, 08:40:42,ARAPIRACA,ATIVIDADES COMUNITÁRIAS,PB - PRAÇA MARQUES DA SILVA,"PRAÇA DEPUTADO MARQUES DA SILVA, ARAPIRACA-AL",0,4
59,6,5,2023, 09:10:50,MARAGOGI,ATIVIDADES COMUNITÁRIAS,FT MARAGOGI,"ORLA DE MARAGOGI, MARAGOGI-AL",0,2
60,6,5,2023, 09:20:44,MACEIÓ,APH,QUEDA DE ALTURA ,"AVENIDA LOURIVAL MELO MOTA, EMPRESA DE INSPEÇÃO DO INMETRO, MACEIÓ-AL",1,3
61,6,5,2023, 09:58:50,SÃO MIGUEL DOS CAMPOS,ATIVIDADES COMUNITÁRIAS,PB- NO CENTRO DE SÃO MIGUEL DOS CAMPOS,"CENTRO DE SÃO MIGUEL DOS CAMPOS, SÃO MIGUEL DOS CAMPOS-AL",1,3
62,6,5,2023, 10:18:59,MACEIÓ,APH,QUEDA DE ALTURA (LAJE),"RUA VINTE E SEIS DE ABRIL, MACEIÓ-AL",1,4
63,6,5,2023, 11:57:20,MARAGOGI,INCÊNDIO,VAZAMENTO DE GÁS ,"UNIDADE MISTA, MARAGOGI-AL",1,2
64,6,5,2023, 12:19:54,MACEIÓ,APH,QUEDA DE MOTO,"AL 101 NORTE - IPIOCA, MACEIÓ-AL",1,2
65,6,5,2023, 12:25:53,ARAPIRACA,BUSCA E SALVAMENTO,"TRATA-SE DE RETIRADA DE VANEL, VÍTIMA DO SEXO MASCULINO 18 ANOS","RUA JOSÉ ANTÔNIO DE ALBUQUERQUE Nº 157, ARAPIRACA-AL",1,3
66,6,5,2023, 12:27:31,PENEDO,BUSCA E SALVAMENTO,CAPTURA DE COBRA QUE SE ENCONTRA  NO TELHADO DA RESIDÊNCIA,"AL 110 ITAPORANGA, PENEDO-AL",0,2
67,6,5,2023, 12:42:30,MACEIÓ,APH,COLISÃO CARRO BICICLETA ,"AVENIDA CID SCALA, MACEIÓ-AL",1,4
68,6,5,2023, 13:07:16,MARECHAL DEODORO,APH,"SEXO, F, 21 ANOS, DORES ABDOMINAIS, TRANSPORTADA PARA UPA","FRANCEZ, MARECHAL DEODORO-AL",1,5
69,6,5,2023, 13:16:24,UNIÃO DOS PALMARES,APH,"COLISÃO MOTO X MOTO, UMA VITIMA.","CAPELA DE NOSSA SENHORA DE FÁTIMA, UNIÃO DOS PALMARES-AL",1,3
70,6,5,2023, 13:26:27,PALMEIRA DOS ÍNDIOS,APH,"TRATA-SE DE COLISÃO CARRO VS MOTO, COM UMA VÍTIMA.","BR-316, PALMEIRA DOS ÍNDIOS-AL",1,3
71,6,5,2023, 14:04:29,ROTEIRO,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS,"AVENIDA GENERAL LUIZ DE FRANÇA ALBUQUERQUE, ROTEIRO-AL",0,3
72,6,5,2023, 14:12:11,MACEIÓ,APH,COLISÃO CARRO X MOTO,"RUA CORONEL FLORIANO PÍMENTEL, MACEIÓ-AL",1,3
73,6,5,2023, 14:36:04,PENEDO,BUSCA E SALVAMENTO,ENXAME DE MARIMBONDOS NA FRENTE DO ESTABELECIMENTO ,"RODOVIA ENGENHEIRO JOAQUIM GONÇALVES, PENEDO-AL",1,4
74,6,5,2023, 14:50:34,MACEIÓ,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS,"AVENIDA ASSIS CHATEAUBRIAND, MACEIÓ-AL",0,3
75,6,5,2023, 13:06:49,ARAPIRACA,ATIVIDADES COMUNITÁRIAS,PB - LAGO DA PERUCABA,"LAGO DA PERUCABA, ARAPIRACA-AL",1,3
76,6,5,2023, 14:52:20,MACEIÓ,ATIVIDADES COMUNITÁRIAS,PREVENÇÕES A BANHISTAS,"AVENIDA ROTA DO MAR, MACEIÓ-AL",0,2
77,6,5,2023, 15:34:43,DELMIRO GOUVEIA,APH,VÍTIMA DE QUEDA DE MOTO COM SUSPEITA DE FRATURA EXPOSTA.,"R. MANOEL RIBEIRO, BOM SOSSEGO, DELMIRO GOUVEIA-AL",0,3
78,6,5,2023, 16:19:08,PAULO JACINTO,BUSCA E SALVAMENTO,TRATA-SE DE RETIRADA DE ANEL,"RESIDENCIAL SANTA INES, QUADRA F, LOTE 20., PAULO JACINTO-AL",1,4
